"date","median","lower","upper","candidate"
2017-11-30,19.13,17.6,20.66,"Tymoshenko"
2017-12-01,19.12,17.55,20.7,"Tymoshenko"
2017-12-02,19.12,17.51,20.74,"Tymoshenko"
2017-12-03,19.1,17.48,20.75,"Tymoshenko"
2017-12-04,19.1,17.46,20.78,"Tymoshenko"
2017-12-05,19.1,17.44,20.78,"Tymoshenko"
2017-12-06,19.09,17.41,20.82,"Tymoshenko"
2017-12-07,19.08,17.37,20.8,"Tymoshenko"
2017-12-08,19.07,17.37,20.81,"Tymoshenko"
2017-12-09,19.06,17.35,20.8,"Tymoshenko"
2017-12-10,19.05,17.33,20.8,"Tymoshenko"
2017-12-11,19.03,17.29,20.8,"Tymoshenko"
2017-12-12,19.02,17.27,20.78,"Tymoshenko"
2017-12-13,18.99,17.2,20.75,"Tymoshenko"
2017-12-14,18.99,17.18,20.76,"Tymoshenko"
2017-12-15,18.94,17.13,20.71,"Tymoshenko"
2017-12-16,18.9,17.08,20.69,"Tymoshenko"
2017-12-17,18.86,17.01,20.71,"Tymoshenko"
2017-12-18,18.85,16.98,20.69,"Tymoshenko"
2017-12-19,18.81,16.95,20.71,"Tymoshenko"
2017-12-20,18.83,16.92,20.71,"Tymoshenko"
2017-12-21,18.83,16.88,20.74,"Tymoshenko"
2017-12-22,18.84,16.87,20.77,"Tymoshenko"
2017-12-23,18.84,16.85,20.8,"Tymoshenko"
2017-12-24,18.87,16.86,20.81,"Tymoshenko"
2017-12-25,18.87,16.84,20.82,"Tymoshenko"
2017-12-26,18.89,16.82,20.85,"Tymoshenko"
2017-12-27,18.89,16.84,20.85,"Tymoshenko"
2017-12-28,18.91,16.87,20.94,"Tymoshenko"
2017-12-29,18.92,16.84,20.99,"Tymoshenko"
2017-12-30,18.94,16.83,21.03,"Tymoshenko"
2017-12-31,18.95,16.79,21.06,"Tymoshenko"
2018-01-01,18.97,16.75,21.13,"Tymoshenko"
2018-01-02,18.99,16.73,21.11,"Tymoshenko"
2018-01-03,19,16.73,21.19,"Tymoshenko"
2018-01-04,19.01,16.72,21.19,"Tymoshenko"
2018-01-05,19.01,16.69,21.25,"Tymoshenko"
2018-01-06,19.02,16.68,21.27,"Tymoshenko"
2018-01-07,19.04,16.65,21.32,"Tymoshenko"
2018-01-08,19.05,16.63,21.38,"Tymoshenko"
2018-01-09,19.05,16.63,21.39,"Tymoshenko"
2018-01-10,19.07,16.62,21.43,"Tymoshenko"
2018-01-11,19.09,16.64,21.47,"Tymoshenko"
2018-01-12,19.12,16.6,21.5,"Tymoshenko"
2018-01-13,19.13,16.61,21.58,"Tymoshenko"
2018-01-14,19.14,16.61,21.6,"Tymoshenko"
2018-01-15,19.16,16.56,21.67,"Tymoshenko"
2018-01-16,19.16,16.58,21.69,"Tymoshenko"
2018-01-17,19.16,16.58,21.73,"Tymoshenko"
2018-01-18,19.18,16.61,21.74,"Tymoshenko"
2018-01-19,19.19,16.58,21.77,"Tymoshenko"
2018-01-20,19.21,16.61,21.8,"Tymoshenko"
2018-01-21,19.21,16.59,21.82,"Tymoshenko"
2018-01-22,19.24,16.6,21.87,"Tymoshenko"
2018-01-23,19.23,16.62,21.84,"Tymoshenko"
2018-01-24,19.25,16.59,21.88,"Tymoshenko"
2018-01-25,19.26,16.61,21.91,"Tymoshenko"
2018-01-26,19.29,16.63,21.9,"Tymoshenko"
2018-01-27,19.29,16.67,21.96,"Tymoshenko"
2018-01-28,19.32,16.68,22.02,"Tymoshenko"
2018-01-29,19.34,16.68,22.05,"Tymoshenko"
2018-01-30,19.35,16.69,22.07,"Tymoshenko"
2018-01-31,19.36,16.69,22.11,"Tymoshenko"
